,Широта будинку,Довгота будинку
870,50.4686075,30.5184414
871,50.4690729,30.5201245
872,50.4689032,30.519133
873,50.4693831,30.5198424
874,50.4699119,30.5198614
875,50.4699694,30.5214319
876,50.4610382,30.5175369
877,50.4605357,30.5172628
878,50.4604531,30.5169328
879,50.4603003,30.516961
880,50.5093662,30.4418647
881,50.5093078,30.4410636
882,50.5097784,30.442569
883,50.510656,30.4450798
884,50.510656,30.4450798
885,50.510656,30.4450798
886,50.510656,30.4450798
887,50.5110215,30.4393031
888,50.5105889,30.4404044
889,50.5113254,30.4413248
890,50.5116563,30.4415671
891,50.5116806,30.4409422
892,50.5119789,30.441761
893,50.5118056,30.4422846
894,50.5116736,30.4427422
895,50.5122026,30.4424523
896,50.5116243,30.4432219
897,50.5133768,30.4425499
898,50.512369,30.4440367
899,50.5123769,30.443469
900,50.5125078,30.4414709
901,50.5134126,30.4420524
902,50.5146157,30.4405702
903,50.5143357,30.4421589
904,50.5145722,30.4434619
905,50.5140565,30.4452881
906,50.5140565,30.4452881
907,50.5140565,30.4452881
908,50.5140565,30.4452881
909,50.5140565,30.4452881
910,50.5091823,30.4491843
911,50.5091823,30.4491843
912,50.5132737,30.4496229
913,50.5133309,30.4485754
914,50.5138272,30.4488621
915,50.514471,30.4469391
916,50.5165892,30.4493223
917,50.5170192,30.4492216
918,50.5172838,30.4492305
919,50.507877,30.4452731
920,50.507877,30.4452731
921,50.5086369,30.4475168
922,50.5072437,30.4454408
923,50.5083073,30.4473495
924,50.5076071,30.4447986
925,50.5155802,30.4363761
926,50.5154482,30.4368339
927,50.5147808,30.4401521
928,50.5147808,30.4401521
929,50.5148991,30.4398789
930,50.5150532,30.4394393
931,50.5151852,30.4389816
932,50.5153171,30.438524
933,50.5155401,30.4381368
934,50.5157052,30.4377188
935,50.5159034,30.4373403
936,50.516085,30.4368651
937,50.5131376,30.4319517
938,50.5133932,30.4309878
939,50.5143177,30.4290166
940,50.5123925,30.430829
941,50.5132258,30.4284792
942,50.5138897,30.4380085
943,50.514324,30.437335
944,50.5145222,30.4369566
945,50.5147204,30.4365783
946,50.5149186,30.4361999
947,50.5143894,30.4361818
948,50.5151671,30.4358634
949,50.5121972,30.4349042
950,50.5124377,30.4358462
951,50.5131267,30.4351262
952,50.5127422,30.4339407
953,50.513542,30.4339475
954,50.513163,30.4227491
955,50.5135098,30.4221639
956,50.513283,30.421507
957,50.5059088,30.4192623
958,50.5059426,30.4200719
959,50.5176311,30.4366768
